Concentration,Sample Type,Sample Number,Circle 1 Pixels Changed,Circle 1 Intensity Change,Circle 2 Pixels Changed,Circle 2 Intensity Change,Circle 3 Pixels Changed,Circle 3 Intensity Change,Circle 4 Pixels Changed,Circle 4 Intensity Change
30mM,Right side,9,60.257508007484226,108.32654679224939,58.68579790841275,102.79658778598709,80.78752910213585,147.92381145190134,85.20754154556971,154.32576943140324
30mM,Normal light,1,68.23345580472149,129.61890282528822,85.0379918049091,154.96244579703227,80.91653460116217,151.1291160415566,84.81615978211529,154.92952791647753
30mM,Normal light,2,82.30961694329915,153.3777707298164,78.842033084769,147.29943430187708,72.35601278154469,132.12730886135142,72.9693160490594,136.20426869189473
30mM,Normal light,3,84.75096702157356,154.39219204849064,80.16103433592691,151.02140672782875,81.69852271931667,150.2664706294196,72.40203077899413,133.76891956211327
30mM,Normal light,4,82.04450572599487,152.38304799111418,74.51815522285321,140.38904663569093,79.9496908080914,149.28302414142473,76.0282895961288,145.5749488181649
30mM,Normal light,5,81.11934520517642,151.65497916897098,77.06338349293206,143.57554339565283,84.54408101596636,154.62807791253215,76.26331716618995,142.14339012560626
30mM,Normal light,6,63.31171430859156,116.8256465689807,65.3441806902188,126.23284668821279,80.90355922313913,151.6762107193465,77.79740871613663,147.27587603062426
30mM,Normal light,7,49.05089088156516,83.23531695198167,61.88354468943981,111.6619444761796,84.31734317343174,150.72096292391495,79.15047304989596,145.1766968947513
30mM,Normal light,8,63.7774567544542,121.5122791421269,59.45634646394839,114.06208246947708,79.63007446552966,147.07346464889102,83.13806570181484,148.81327054138907
30mM,Normal light,9,64.42139980338058,118.88903688199665,61.93382589142307,117.79034157832744,80.94948881465736,146.2850153524311,65.66063044936284,124.10667709963485
30mM,Normal light,10,80.33285782215881,145.8947218259629,61.17530958520357,114.09951294050234,81.44921060470658,149.70554066130472,82.63758166316023,152.12970139888532
0mM,Dry,1,48.70403096861062,85.61461752082808,46.74206857305449,83.61694408877507,45.27034590842942,81.24105377066309,46.58488197902749,82.29138831531641
0mM,Dry,2,46.31876096742199,79.62420843823911,47.57010531658419,85.27965994163178,46.40917549656299,81.5151342524021,48.83476358741377,86.25534241965337
0mM,Dry,3,44.11946050096339,77.59418111753372,43.7248322147651,77.81558538404175,47.11613103555349,83.46165191740413,45.91324494786974,79.894066160381
0mM,Dry,4,46.64646464646465,79.3780606060606,45.87359350817752,79.39080604007195,46.39284410368747,82.09539978094195,48.23036132692071,84.46561433797838
0mM,Dry,5,44.75401247797304,78.85397913987713,47.76902887139108,84.922611946234,41.041152263374485,69.52744855967079,44.42832386249144,80.57385241607221
0mM,Dry,6,49.07378003599026,88.62199640097386,50.68802628876566,90.66563976175806,50.253507841056475,90.46220964508902,47.10191769015298,84.50667959491489
0mM,Dry,7,45.15029047739328,79.21832112486318,45.7148384600503,81.27587541110466,46.29262413002061,82.00365488549322,55.669414123412786,100.37484220687607
0mM,Dry,8,49.726210989852575,89.97978173463527,43.29911306655493,76.82027376213422,41.97655618431689,72.55042441390461,46.69128294236896,80.87087315377933
0mM,Dry,9,47.32191238381059,85.55037305656288,46.70874661857529,82.74650586113616,45.59210784891719,81.37381598081987,45.02345632052745,77.90080723553527
0mM,Dry,10,50.59243397573162,90.73786581013562,46.76324292923792,83.1043459318157,45.49975874995361,81.269680436477,50.2331413345872,92.43458328435406
0mM,Yellow light,1,71.26988134309518,133.73895480939157,71.66737800540618,139.3673353250818,68.08836150602635,127.2337400649278,78.55378760273696,143.2883517551318
0mM,Yellow light,2,46.67734798199435,82.33367666132601,52.45527217358203,95.11749777946962,66.77680300786145,129.1335687972352,66.82231196365473,126.89365640249032
0mM,Yellow light,3,49.42967244701349,89.506204238921,52.46457867263237,95.24116331096197,53.35351653469959,95.64667753454432,52.85965589736988,97.69507015059854
0mM,Yellow light,4,55.83838383838384,102.59587878787879,67.9173463839043,123.59421926632368,59.04344651332604,108.8453085067543,61.53656431125909,110.26928926706951
0mM,Yellow light,5,62.918512168405,113.89979520883936,68.2693072456852,125.34224131074525,49.66255144032922,93.8698353909465,54.37875307298593,97.91681779712248
0mM,Yellow light,6,58.43124801524293,105.28146501534879,52.618607516943925,96.18340521667693,59.70993986558189,110.02735526470936,50.721827192415425,89.59028226675285
0mM,Yellow light,7,51.35556116864528,92.6659509977267,59.70593925324047,106.9918746372606,56.86457482794821,101.26424044480734,67.22729635405065,124.96591668523057
0mM,Yellow light,8,47.07639287765652,91.79628565958262,51.187233745373284,92.2245617710734,54.611290757208295,95.72551199137699,63.85389516362583,117.68342745438748
0mM,Yellow light,9,45.50456421157934,82.84610895752574,55.92500751427713,102.10170574090772,54.17207090358841,97.77070314035295,60.6610033388276,107.87633658763366
0mM,Yellow light,10,52.3661670235546,94.24079229122056,61.7071488218422,110.59503322078206,65.48639720892254,120.30445755854953,64.40970181419223,118.02025782688766
0mM,Left side,1,55.209122275519654,100.29689472355466,56.97111964717598,99.76628965713473,56.408821224672565,96.26191275793873,54.46779221830843,94.04854447548483
0mM,Left side,2,56.66437781338216,100.00175478751812,56.45645645645646,97.42786448420252,42.007519653640195,77.57749420834757,72.16052498738011,127.36219081272085
0mM,Left side,3,49.34104046242774,90.88940269749519,55.454884414615954,96.67069351230425,71.4058376028567,129.12106039434872,83.04372077058395,156.33582185609473
0mM,Left side,5,76.46806686669524,142.88584083440492,75.20480394496143,138.28998647896285,68.28806584362141,127.84353909465021,79.97420706887519,147.13412324184904
0mM,Left side,6,55.520270985498044,101.37980311209908,49.17847607311563,88.0549394126104,62.92889989388044,113.29288998938804,65.57853910795087,123.79163973281621
0mM,Left side,8,88.39364349990427,158.36159295424085,53.29981143934632,88.14068719882674,69.88345459444893,130.60617084343843,77.01274254271648,143.9680712423979
0mM,High height,1,49.36463855928638,92.64205167045358,47.869540475174276,85.83582301892162,49.703347139818646,90.84178514123661,43.39042066480424,78.30337260617839
0mM,High height,2,46.4789806973373,89.2450217441062,45.9247980374741,82.52379139703083,50.65512133986556,89.9214993733622,49.9663469628134,92.1288911324247
0mM,High height,3,41.861271676300575,73.31464354527938,46.68903803131991,87.4548471290082,46.11473373699736,83.82168917869896,79.2079632728365,149.14309005878061
0mM,High height,4,42.0040404040404,78.18080808080808,56.54410842012799,104.26276822687916,47.84592917123038,86.28130704636729,51.962839643194805,93.3163563119168
0mM,High height,5,71.4340143830071,132.13416202314616,74.31400620376998,134.16905273204486,63.86008230452674,118.3058024691358,66.39664691895378,121.86756941925603
0mM,High height,6,56.70583253943051,103.03408489467556,45.296775518586976,83.17313616759088,52.470227567503834,93.45442754392171,48.696401637578106,90.34755440637794
0mM,High height,7,48.076113496674246,91.42839100783026,46.56993615786419,85.92002321532212,62.98845211711186,113.1323146312065,72.499443083092,136.8071211108636
0mM,High height,8,57.533984300210605,98.40490139766418,41.965221034988474,78.19072560933026,54.90433845324711,100.53001212611156,72.3899507674486,137.44519258615696
0mM,High height,9,57.04222416739611,96.15126505772999,62.214457469191466,108.12221971746318,59.06143143497229,107.05058365758755,79.1344406407168,153.46249101897638
0mM,High height,10,67.35546038543897,125.49054246966452,55.05573103873943,97.38485277565988,71.26526370485841,135.53783914189214,82.72403119000039,146.9322126875906
0mM,Android,1,61.545905916014476,104.96962046621223,57.2841086925594,98.70522122634799,79.09996641665734,145.65506175603568,78.21369286205919,141.12640187861857
0mM,Android,2,64.26718547341116,112.16987106126497,60.75371145793681,112.5008247684304,77.47142151836238,144.82317420530933,78.13814571765101,145.70322227831062
0mM,Android,3,75.495183044316,139.2798458574181,48.04250559284116,87.79988814317673,69.11582052476324,130.3234746157429,68.01390140301197,132.7490882567469
0mM,Android,4,64.73535353535354,119.60957575757575,76.25381687371899,137.0751662692935,70.08397225264696,129.08860898138008,72.70933530644962,134.62962962962962
0mM,Android,5,73.73434300138115,136.86960041910748,76.46544181977252,143.75097431002942,58.93415637860082,108.20769547325104,73.58239632450731,134.926248337565
0mM,Android,6,54.63109982004869,101.54874563353445,84.8326144998973,155.49774080920108,81.14609126282278,150.44181110718077,73.22775263951733,135.46724843783667
0mM,Android,7,72.61092868569504,138.30525385198283,81.55929580189591,151.3249758173728,61.3282009409386,115.48271705742836,79.0747753768471,146.25978317368381
0mM,Android,8,76.58816771970132,142.23239517518667,81.87722606327257,152.60699071164188,83.11775801670709,154.01893020749125,76.85708079930495,139.99851578337677
0mM,Android,9,74.5487891292568,138.9259305572923,79.71145175834084,146.7898632401563,74.68851943560115,139.39735880202807,80.2375216601158,148.35480326275305
0mM,Android,10,70.29621698786582,134.42994289793006,74.9736775224195,139.65660966488764,81.38291949671529,149.03470289128902,77.30104619724932,140.30602249128168
0mM,Right Side,1,72.27972734158041,134.37957586468065,68.59795134443021,131.1971119647176,69.76379715661032,125.71219075338632,73.68719381351471,137.14952022349084
0mM,Right Side,2,61.0055695429923,108.78137636377508,67.29687433912787,125.37072283551157,69.80365348828377,131.49572746952262,69.56503449436312,128.0123254248696
0mM,Right Side,3,58.24277456647399,106.16196531791907,57.26323639075317,105.3282624906786,72.65176214873466,136.56536252134762,86.13721199639593,155.26189556785516
0mM,Right Side,5,66.22374624946421,123.4789255607944,61.755348763222784,117.14073808955699,57.58847736625514,102.53119341563786,65.15133196308386,120.98899770281707
0mM,Right Side,6,43.6858261882079,83.05673758865248,43.140275210515505,75.99301704662149,77.76205636127816,145.60558896356562,69.73712561947856,132.8864468864469
0mM,Right Side,8,60.31016657093624,104.79946390963048,44.90537048676583,83.29806550736784,69.33777957423874,125.57935866343304,79.496090356212,144.78457138719955
0mM,normal light,1,71.48868130943364,135.24627619288057,58.333333333333336,104.47165315123061,59.94253516922273,111.65252434792343,66.79217782096441,124.56949674075874
0mM,normal light,2,46.810864423590445,82.76447699702449,55.39483145116948,101.59231062047964,65.20071398731532,114.99954426341574,47.707386841662455,86.81638061585058
0mM,normal light,3,50.35452793834296,92.13622350674373,43.47129008202833,77.17580164056675,59.47446048750194,105.86562645551933,62.208778478568675,117.00669326811688
0mM,normal light,4,49.842424242424244,91.63644444444445,70.39779144183711,128.7727025557368,58.91566265060241,109.87751004016064,66.066510461627,113.5212726600074
0mM,normal light,5,71.35781302090774,129.71386388531695,74.65998568360773,140.51431639226914,52.50617283950617,95.98477366255145,63.47479143997098,117.50191431910692
0mM,normal light,6,50.20641473483646,91.77188525457818,47.997535428219344,90.43068391866913,62.068152340525884,111.44499469402193,55.602240896358545,100.65998707175177
0mM,normal light,7,59.324745306053714,103.15302685863433,63.07603017991875,109.91824337396015,61.514833391655976,109.59621291652086,77.92010098759931,143.7363184079602
0mM,normal light,8,54.00727551215776,98.65682557916907,51.09295341853481,89.57039597737273,52.00080840743735,91.75181891673404,64.06385751520418,118.61225745728352
